id,tags,name,price,opening_time,closing_time,hours_required,latitude,longitude,user_rating
1,adventure-with-kids|recreation-without-nature,Wave House,40,11:30,21:30,3,1.2545,103.8137,4.2
2,fun|adventure-with-kids|recreation-without-nature,Adventure Cove Waterpark,30,10:00,18:00,5,1.2588,103.8187,4
3,fun|sightseeing|adventure-without-kids|adventure-with-kids,Universal Studios Singapore,79,10:00,18:00,6,1.2540,103.8238,4.8
4,arts|education,Science Centre Singapore,10,10:00,18:00,2,1.3332,103.7362,4
5,arts|education,Art Science Museum,40,10:00,19:00,1,1.2863,103.8593,4
6,arts,Sri Mariamman Temple,10,07:00,21:00,1,1.2827,103.8451,4
7,fun|adventure-without-kids|adventure-with-kids|recreation-without-nature,Water Sports Centre,18,07:00,20:00,2,1.3010,103.8729,4.3
8,arts,China Cultural Centre,3.50,08:00,24:00,2,1.2981,103.8521,4.5
9,arts,Buddha Tooth Relic Temple and Museum,10,07:00,19:00,2,1.2813,103.8445,4.5
10,arts,Sultan Mosque,0,11:30,21:30,2,1.2902,103.8519,4
11,arts|fun,Singapore Sports Museum,10,10:00,20:00,2,1.3014,103.8735,4
12,arts,National Museum of Singapore,15,11:00,19:00,2,1.2966,103.8485,4.5
13,arts,Singapore Art Museum,10,11:00,19:00,2,1.2973,103.8509,4
14,arts,National Gallery Singapore,25,10:00,19:00,2,1.2897,103.8513,4.5
15,arts|education,Singapore Discovery Centre,0,09:00,18:00,2,1.3327,103.6789,3.5
16,arts,Baba House,0,11:30,21:30,1,1.2902,103.8519,4.5
17,arts|sightseeing|nature-adventure|adventure-without-kids,Fort Canning,10,00:00,24:00,3,1.2945,103.8458,4.1
18,arts|sightseeing|nature-adventure|adventure-without-kids,Fort Siloso,6,10:00,18:00,1,1.2592,103.8086,4
19,nature|sightseeing|recreation-with-nature,East Coast Park,0,00:00,24:00,2,1.3008,103.9122,4.5
20,sightseeing|nature|recreation-with-nature,Marina Bay Beach,0,00:00,24:00,2,1.2834,103.8608,4.2
21,sightseeing|nature|recreation-with-nature,Palawan Beach,0,09:00,24:00,2,1.2483,103.8225,4.3
22,sightseeing|nature|recreation-with-nature,Changi Beach,0,08:30,22:00,2,1.3909,103.9921,4
23,sightseeing|nature|recreation-with-nature,Siloso Beach,0,11:00,23:00,3,1.2494,103.8303,4.4
24,nature-adventure|adventure-without-kids,Bukit Timah Trekking,0,06:00,19:00,4,1.3294,103.8021,4.2
